	waterph	elev	code
1	7.909999847	0.244000003	0
2	7.139999866	0.375	0
3	6.809999943	0.566999972	0
4	6.96999979	0.512000024	0
5	7.210000038	0.407999992	0
6	6.940000057	0.512000024	0
7	6.590000153	0.505999982	0
8	6.940000057	0.488000006	0
9	6.940000057	0.488000006	0
10	8.430000305	0.231999993	0
11	7.090000153	0.566999972	0
12	7.059999943	0.56099999	0
13	7.170000076	0.448000014	0
14	6.869999886	0.56099999	0
15	7.099999905	0.488000006	0
16	7.079999924	0.610000014	1
17	6.699999809	1.036000013	1
18	7.269999981	0.503000021	0
19	7.03000021	0.456999987	0
20	6.829999924	0.43599999	0
21	6.940000057	0.542999983	0
22	7	0.606999993	1
23	6.900000095	1.029999971	1
24	6.800000191	0.959999979	1
25	7.230000019	0.610000014	1
26	6.579999924	1.297999978	1
27	6.929999828	0.432999998	0
28	6.800000191	0.578999996	0
29	6.630000114	0.731999993	1
30	8.020000458	0.305000007	0
31	8.180000305	0.280000001	0
32	6.579999924	0.430000007	0
33	7.239999771	0.442000002	0
34	6.889999866	0.510999978	0
35	7.440000057	0.683000028	1
36	6.769999981	0.838	1
37	6.75	0.90200001	1
38	7.150000095	0.596000016	0
39	6.909999847	0.485000014	0
40	7.059999943	0.549000025	0
41	7.230000019	0.852999985	1
42	7.019999981	0.731999993	1
43	7.079999924	0.779999971	1
44	6.380000114	0.549000025	0
45	7.039999962	0.43599999	0
46	6.829999924	0.889999986	1
47	6.78000021	0.852999985	1
48	6.71999979	0.950999975	1
49	7.429999828	0.852999985	1
50	7.079999924	0.884000003	1
51	6.960000038	0.828999996	1
52	7.03000021	0.93599999	1
53	8.279999733	0.414999992	0
54	7.03000021	0.671000004	1
55	8.380000114	0.426999986	0
56	7.03000021	0.328999996	0
57	6.630000114	1.008999944	1
58	6.96999979	0.65200001	1
59	6.860000134	0.689000011	1
60	6.869999886	0.731999993	1
61	7.389999866	0.661000013	1
62	7.849999905	0.621999979	1
63	7.670000076	0.597000003	0
64	8.199999809	0.5	0
65	7.96999979	0.621999979	1
66	7.340000153	0.671000004	1
67	7.360000134	0.913999975	1
68	7.230000019	0.268000007	0
69	6.920000076	0.661000013	1
70	7.079999924	0.646000028	1
71	7.320000172	0.549000025	0
72	7.400000095	0.426999986	0
73	6.949999809	0.426999986	0
74	7.079999924	0.551999986	0
75	7.199999809	0.444999993	0
